Name,Description,Data Type,Range of Values,Percent of Missing Data
item1,First legendary item player bought,Nominal,"['Ionian Boots of Lucidity', 'Infinity Edge', 'Blade of The Ruined King', ""Nashor's Tooth"", 'Pickaxe', 'Malignance', 'Gunmetal Greaves', 'Tunneler', 'Heartsteel', 'Ruby Crystal', 'Plated Steelcaps', 'Hollow Radiance', 'Sunfire Aegis', 'Sundered Sky', '0', ""Seraph's Embrace"", 'Titanic Hydra', 'Locket of the Iron Solari', 'Control Ward', 'Hextech Rocketbelt', ""Zhonya's Hourglass"", 'Dark Seal', 'Needlessly Large Rod', ""Serpent's Fang"", ""Berserker's Greaves"", ""Liandry's Torment"", 'Trinity Force', 'Slightly Magical Footwear', 'Boots', 'Refillable Potion', 'Imperial Mandate', ""Sorcerer's Shoes"", 'Blighting Jewel', 'Chainlaced Crushers', 'Unending Despair', 'Eclipse', 'Crimson Lucidity', 'Shadowflame', 'Spirit Visage', 'Boots of Swiftness', 'The Collector', 'Riftmaker', 'Lich Bane', 'Fiendish Codex', 'Profane Hydra', 'Rectrix', ""Rylai's Crystal Scepter"", 'Cull', 'Guardian Angel', ""Luden's Companion"", 'Void Staff', 'Yun Tal Wildarrows', 'Tiamat', ""Randuin's Omen"", 'Stridebreaker', ""Sterak's Gage"", 'Hubris', 'Kindlegem', ""Dead Man's Plate"", 'Redemption', 'Serrated Dirk', 'Voltaic Cyclosword', 'Opportunity', ""Giant's Belt"", 'Kraken Slayer', ""Rabadon's Deathcap"", ""Doran's Blade"", 'Edge of Night', ""Executioner's Calling"", 'Fimbulwinter', ""Zeke's Convergence"", 'Ravenous Hydra', 'Stormsurge', 'Bloodthirster', 'Health Potion', 'Mortal Reminder', ""Mercury's Treads"", 'Long Sword', 'Muramana', 'Kaenic Rookern', 'Aegis of the Legion', 'Force of Nature', 'Spear of Shojin', ""Spectre's Cowl"", ""Mikael's Blessing"", ""Death's Dance"", 'Iceborn Gauntlet', 'Black Cleaver', 'B. F. Sword', ""Mejai's Soulstealer"", ""Knight's Vow"", ""Doran's Shield"", 'Forbidden Idol', 'Maw of Malmortius', 'Shattered Armguard', ""Wit's End"", 'Haunting Guise', 'Rapid Firecannon', 'Amplifying Tome', 'Bloodsong', 'Null-Magic Mantle', 'Blasting Wand', ""Spellslinger's Shoes"", 'Experimental Hexplate', 'Recurve Bow', ""Doran's Ring"", 'Negatron Cloak', 'Immortal Shieldbow', ""Serylda's Grudge"", ""Youmuu's Ghostblade"", 'Echoes of Helia', 'Chain Vest', 'Thornmail', ""Guinsoo's Rageblade"", 'Hearthbound Axe', 'Tear of the Goddess', 'Blackfire Torch', ""Seeker's Armguard"", 'Cosmic Drive', ""Shurelya's Battlesong"", 'Swiftmarch', 'Dream Maker', ""Archangel's Staff"", 'Morellonomicon', 'World Atlas', ""Jak'Sho, The Protean"", 'Umbral Glaive', 'Watchful Wardstone', 'Armored Advance', 'Bramble Vest', 'Steel Sigil', 'Quicksilver Sash', 'Hullbreaker', 'Navori Flickerblade', 'Last Whisper', ""Caulfield's Warhammer"", 'Noonquiver', 'Hextech Alternator', 'Moonstone Renewer', 'Phage', 'Phantom Dancer', 'Frozen Heart', 'Rod of Ages', 'Essence Reaver', ""Scout's Slingshot"", 'Manamune', ""Winter's Approach"", 'Gustwalker Hatchling', 'Horizon Focus', 'Cloak of Agility', 'Glacial Buckler', ""Banshee's Veil"", 'Celestial Opposition', 'Trailblazer', 'Total Biscuit of Everlasting Will', 'Abyssal Mask', 'Cloth Armor', ""Bloodletter's Curse"", ""Lord Dominik's Regards"", 'Dawncore', 'Crystalline Bracer', 'Axiom Arc', 'Dagger', 'Staff of Flowing Water', ""Zaz'Zak's Realmspike"", 'Statikk Shiv', 'Oblivion Orb', 'Solstice Sleigh', 'Cryptbloom', 'Fated Ashes', 'The Brutalizer', 'Ardent Censer', 'Verdant Barrier', ""Warden's Mail"", 'Zeal', 'Lost Chapter', 'Hexdrinker', 'Aether Wisp', ""Bami's Cinder"", 'Mosstomper Seedling', 'Runic Compass', 'Synchronized Souls', 'Terminus', 'Mercurial Scimitar', ""Runaan's Hurricane"", 'Winged Moonplate', 'Bandleglass Mirror', 'Forever Forward', 'Sheen', 'Scorchclaw Pup', 'Vampiric Scepter', 'Sapphire Crystal', 'Symbiotic Soles', 'Glowing Mote', ""Warmog's Armor"", 'Catalyst of Aeons', 'Vigilant Wardstone', 'Chempunk Chainsword']",0
item2,Secondary legendary item player bought,Nominal,"['0', 'Rapid Firecannon', 'Gunmetal Greaves', 'Dark Seal', 'Yun Tal Wildarrows', 'Stormsurge', 'Blade of The Ruined King', 'Chainlaced Crushers', 'Control Ward', 'Ionian Boots of Lucidity', 'Sunfire Aegis', 'Plated Steelcaps', 'Shattered Armguard', ""Shurelya's Battlesong"", ""Rylai's Crystal Scepter"", ""Sorcerer's Shoes"", 'Ruby Crystal', 'Shadowflame', 'Eclipse', 'Sundered Sky', 'Cloth Armor', 'The Collector', ""Serpent's Fang"", 'Edge of Night', 'Quicksilver Sash', ""Nashor's Tooth"", 'Muramana', ""Lord Dominik's Regards"", ""Sterak's Gage"", 'Dream Maker', ""Rabadon's Deathcap"", 'Horizon Focus', 'Kraken Slayer', 'Spirit Visage', 'Boots of Swiftness', 'Blackfire Torch', 'Bloodsong', 'Black Cleaver', 'Void Staff', 'Riftmaker', 'Moonstone Renewer', ""Mercury's Treads"", 'Redemption', 'Malignance', ""Youmuu's Ghostblade"", ""Randuin's Omen"", ""Zhonya's Hourglass"", ""Serylda's Grudge"", 'Recurve Bow', 'Refillable Potion', 'Maw of Malmortius', 'Cloak of Agility', ""Berserker's Greaves"", 'Boots', ""Liandry's Torment"", 'Stridebreaker', 'Blighting Jewel', 'Swiftmarch', 'Long Sword', 'Infinity Edge', 'Iceborn Gauntlet', 'Phage', 'Pickaxe', 'Phantom Dancer', ""Bloodletter's Curse"", 'Thornmail', ""Doran's Blade"", 'Mortal Reminder', 'Profane Hydra', 'Fimbulwinter', ""Seraph's Embrace"", ""Guinsoo's Rageblade"", 'Trinity Force', 'Unending Despair', 'Voltaic Cyclosword', 'Last Whisper', 'Verdant Barrier', ""Executioner's Calling"", 'Axiom Arc', 'Haunting Guise', 'Ravenous Hydra', 'Oblivion Orb', 'Dagger', 'Slightly Magical Footwear', ""Zeke's Convergence"", 'Bloodthirster', 'Amplifying Tome', 'Negatron Cloak', 'Spear of Shojin', ""Knight's Vow"", 'Tear of the Goddess', 'Vampiric Scepter', 'Celestial Opposition', 'Dawncore', 'Armored Advance', ""Giant's Belt"", 'Aegis of the Legion', 'Forbidden Idol', 'Abyssal Mask', ""Bami's Cinder"", 'Needlessly Large Rod', 'Tunneler', ""Dead Man's Plate"", 'Statikk Shiv', 'Cryptbloom', 'Serrated Dirk', 'Force of Nature', 'Zeal', 'Frozen Heart', ""Luden's Companion"", 'Glowing Mote', ""Death's Dance"", ""Mejai's Soulstealer"", 'Crimson Lucidity', 'Kaenic Rookern', 'Immortal Shieldbow', 'Terminus', ""Jak'Sho, The Protean"", ""Seeker's Armguard"", 'Guardian Angel', 'Locket of the Iron Solari', 'Manamune', ""Zaz'Zak's Realmspike"", ""Caulfield's Warhammer"", 'Total Biscuit of Everlasting Will', 'Rod of Ages', 'Chain Vest', 'Hextech Rocketbelt', 'Trailblazer', ""Doran's Ring"", 'Bandleglass Mirror', 'Hollow Radiance', 'Runic Compass', 'Cosmic Drive', ""Archangel's Staff"", ""Doran's Shield"", 'Kindlegem', 'Hearthbound Axe', ""Spellslinger's Shoes"", ""Wit's End"", ""Warden's Mail"", 'Hullbreaker', 'Lich Bane', 'Blasting Wand', 'Titanic Hydra', 'Steel Sigil', 'Essence Reaver', 'Null-Magic Mantle', 'Hextech Alternator', ""Scout's Slingshot"", 'Hexdrinker', 'Fiendish Codex', 'B. F. Sword', 'Heartsteel', 'Fated Ashes', 'Faerie Charm', ""Spectre's Cowl"", 'Imperial Mandate', 'Symbiotic Soles', 'Winged Moonplate', 'Ardent Censer', 'Hubris', ""Mikael's Blessing"", 'Aether Wisp', ""Runaan's Hurricane"", 'Bramble Vest', 'Echoes of Helia', 'Umbral Glaive', 'Health Potion', 'Lost Chapter', 'Synchronized Souls', 'Glacial Buckler', 'Cull', 'Noonquiver', 'Solstice Sleigh', ""Banshee's Veil"", 'Forever Forward', 'Rectrix', 'Elixir of Force', 'Opportunity', 'Staff of Flowing Water', 'Rejuvenation Bead', 'Morellonomicon', ""Winter's Approach"", 'Navori Flickerblade', 'Elixir of Sorcery', 'Catalyst of Aeons', 'Gustwalker Hatchling', 'Sapphire Crystal', 'Mercurial Scimitar', 'Watchful Wardstone', 'Chempunk Chainsword', 'Vigilant Wardstone', 'Tiamat', 'Crystalline Bracer', 'The Brutalizer', 'Experimental Hexplate', 'Sheen', 'Scorchclaw Pup', ""Warmog's Armor""]",0
item3,Third legendary item player bought,Nominal,"['Amplifying Tome', 'Trinity Force', ""Guinsoo's Rageblade"", ""Rabadon's Deathcap"", 'Cloak of Agility', 'Dark Seal', 'Plated Steelcaps', 'Negatron Cloak', 'Black Cleaver', 'Control Ward', '0', ""Warden's Mail"", 'Riftmaker', 'Kindlegem', 'Ionian Boots of Lucidity', 'Tunneler', 'Ruby Crystal', ""Sorcerer's Shoes"", ""Spectre's Cowl"", 'Shadowflame', ""Sterak's Gage"", 'Spirit Visage', 'Blackfire Torch', 'Long Sword', ""Liandry's Torment"", ""Seraph's Embrace"", 'Armored Advance', 'Blade of The Ruined King', 'Sundered Sky', 'The Collector', 'Needlessly Large Rod', 'Tear of the Goddess', 'Fimbulwinter', ""Luden's Companion"", 'Boots of Swiftness', 'Hullbreaker', ""Doran's Blade"", 'Unending Despair', 'Cosmic Drive', 'Stormsurge', ""Caulfield's Warhammer"", ""Doran's Ring"", 'Force of Nature', ""Mercury's Treads"", 'Forbidden Idol', 'Dagger', 'Faerie Charm', 'Slightly Magical Footwear', 'Horizon Focus', ""Serpent's Fang"", 'Glowing Mote', 'Cloth Armor', 'Noonquiver', ""Nashor's Tooth"", 'Serrated Dirk', 'Mortal Reminder', ""Berserker's Greaves"", 'Hexdrinker', ""Zaz'Zak's Realmspike"", ""Serylda's Grudge"", 'Abyssal Mask', 'Void Staff', 'Spear of Shojin', 'Chainlaced Crushers', ""Dead Man's Plate"", 'Swiftmarch', 'Opportunity', 'Heartsteel', 'Essence Reaver', 'Hollow Radiance', ""Giant's Belt"", 'Boots', 'Last Whisper', 'Refillable Potion', ""Spellslinger's Shoes"", ""Doran's Shield"", 'Iceborn Gauntlet', ""Rylai's Crystal Scepter"", 'Frozen Heart', 'Bramble Vest', 'Synchronized Souls', 'Eclipse', 'Crimson Lucidity', ""Zeke's Convergence"", ""Lord Dominik's Regards"", 'Kraken Slayer', 'Muramana', ""Wit's End"", ""Death's Dance"", 'Forever Forward', 'Immortal Shieldbow', 'Infinity Edge', 'Lich Bane', ""Winter's Approach"", 'Kaenic Rookern', 'Imperial Mandate', 'Sunfire Aegis', 'Maw of Malmortius', 'Recurve Bow', 'Null-Magic Mantle', 'Winged Moonplate', 'Pickaxe', 'Celestial Opposition', ""Seeker's Armguard"", 'Bloodsong', 'Oblivion Orb', 'The Brutalizer', 'Phantom Dancer', 'Haunting Guise', ""Executioner's Calling"", 'Mercurial Scimitar', 'Dawncore', 'Voltaic Cyclosword', ""Mejai's Soulstealer"", 'Fated Ashes', 'Bandleglass Mirror', 'Moonstone Renewer', 'Morellonomicon', 'Lost Chapter', 'B. F. Sword', 'Aether Wisp', 'Ardent Censer', 'Chain Vest', 'Umbral Glaive', 'Edge of Night', 'Rapid Firecannon', 'Thornmail', ""Runaan's Hurricane"", ""Bloodletter's Curse"", 'Phage', 'Blighting Jewel', 'Fiendish Codex', 'Cull', ""Scout's Slingshot"", 'Malignance', 'Bloodthirster', 'Blasting Wand', 'Zeal', 'Gustwalker Hatchling', 'Gunmetal Greaves', 'Chempunk Chainsword', ""Banshee's Veil"", ""Knight's Vow"", ""Overlord's Bloodmail"", 'Yun Tal Wildarrows', 'Cryptbloom', 'Hextech Alternator', 'Staff of Flowing Water', 'Redemption', 'Trailblazer', 'Echoes of Helia', 'Statikk Shiv', 'Solstice Sleigh', 'World Atlas', 'Locket of the Iron Solari', 'Symbiotic Soles', 'Hubris', 'Manamune', 'Navori Flickerblade', 'Terminus', ""Zhonya's Hourglass"", ""Youmuu's Ghostblade"", 'Steel Sigil', 'Glacial Buckler', 'Experimental Hexplate', 'Rectrix', ""Mikael's Blessing"", ""Warmog's Armor"", 'Guardian Angel', 'Rod of Ages', ""Archangel's Staff"", 'Vampiric Scepter', 'Sheen', ""Randuin's Omen"", 'Shattered Armguard', ""Jak'Sho, The Protean"", ""Shurelya's Battlesong"", 'Hearthbound Axe', ""Bami's Cinder"", 'Aegis of the Legion', 'Dream Maker', 'Tiamat', 'Verdant Barrier', 'Health Potion', 'Quicksilver Sash', 'Watchful Wardstone', 'Sapphire Crystal', 'Total Biscuit of Everlasting Will', 'Axiom Arc', 'Scorchclaw Pup']",0
item4,Fourth legendary item player bought,Nominal,"['Blackfire Torch', 'Muramana', '0', 'Riftmaker', 'B. F. Sword', 'Control Ward', 'Recurve Bow', 'Black Cleaver', 'Null-Magic Mantle', 'Sundered Sky', 'Spear of Shojin', 'Cloth Armor', 'Thornmail', 'Boots', 'Plated Steelcaps', 'Faerie Charm', 'Haunting Guise', 'The Collector', 'Unending Despair', 'Heartsteel', 'Dark Seal', 'Ionian Boots of Lucidity', ""Sorcerer's Shoes"", 'Steel Sigil', ""Mercury's Treads"", 'Oblivion Orb', 'Voltaic Cyclosword', 'Immortal Shieldbow', ""Caulfield's Warhammer"", 'Ruby Crystal', 'Infinity Edge', 'Cosmic Drive', 'Eclipse', ""Rabadon's Deathcap"", 'Void Staff', ""Sterak's Gage"", ""Executioner's Calling"", ""Doran's Shield"", 'Long Sword', 'Slightly Magical Footwear', ""Dead Man's Plate"", 'Tunneler', 'Glowing Mote', 'Pickaxe', 'Dagger', 'Boots of Swiftness', 'Kindlegem', 'Edge of Night', ""Wit's End"", 'Hubris', 'Amplifying Tome', 'Needlessly Large Rod', 'Blade of The Ruined King', ""Berserker's Greaves"", ""Liandry's Torment"", 'Phantom Dancer', ""Spellslinger's Shoes"", 'Serrated Dirk', 'Fiendish Codex', 'Negatron Cloak', 'Trinity Force', 'Symbiotic Soles', 'Shadowflame', 'Armored Advance', ""Youmuu's Ghostblade"", 'Iceborn Gauntlet', 'Terminus', 'Blasting Wand', ""Doran's Blade"", ""Serpent's Fang"", 'Swiftmarch', 'Navori Flickerblade', ""Giant's Belt"", 'Noonquiver', 'Locket of the Iron Solari', 'Mortal Reminder', 'Chainlaced Crushers', 'Horizon Focus', ""Mejai's Soulstealer"", ""Nashor's Tooth"", 'Malignance', 'Frozen Heart', 'Rapid Firecannon', 'Lost Chapter', ""Spectre's Cowl"", 'Morellonomicon', 'Kraken Slayer', 'Cloak of Agility', 'Fimbulwinter', ""Mikael's Blessing"", ""Death's Dance"", 'Vampiric Scepter', 'Chain Vest', 'Blighting Jewel', 'Bandleglass Mirror', 'Chempunk Chainsword', 'Opportunity', 'Hextech Alternator', ""Knight's Vow"", 'Crimson Lucidity', 'Moonstone Renewer', 'Stormsurge', ""Doran's Ring"", 'Lich Bane', 'Hullbreaker', 'Spirit Visage', 'Last Whisper', 'Maw of Malmortius', 'Trailblazer', 'Health Potion', 'Dawncore', ""Lord Dominik's Regards"", 'Force of Nature', ""Seraph's Embrace"", 'Bloodthirster', ""Jak'Sho, The Protean"", 'Forbidden Idol', 'Sunfire Aegis', 'Dream Maker', ""Guinsoo's Rageblade"", ""Zeke's Convergence"", 'Hearthbound Axe', 'Tear of the Goddess', 'Abyssal Mask', ""Serylda's Grudge"", 'Experimental Hexplate', 'Redemption', 'Zeal', 'Aegis of the Legion', ""Warden's Mail"", 'Sapphire Crystal', ""Scout's Slingshot"", 'Yun Tal Wildarrows', 'Essence Reaver', 'Statikk Shiv', ""Runaan's Hurricane"", 'Winged Moonplate', 'Kaenic Rookern', ""Rylai's Crystal Scepter"", ""Archangel's Staff"", 'Phage', 'Cryptbloom', ""Luden's Companion"", ""Bloodletter's Curse"", 'Hollow Radiance', 'The Brutalizer', 'Manamune', 'Umbral Glaive', 'Cull', 'Crystalline Bracer', 'Bramble Vest', 'Gustwalker Hatchling', 'Ardent Censer', ""Banshee's Veil"", 'Imperial Mandate', 'Verdant Barrier', 'Echoes of Helia', 'Fated Ashes', 'Glacial Buckler', 'Sheen', 'Shattered Armguard', ""Seeker's Armguard"", 'Hexdrinker', 'Refillable Potion', 'Total Biscuit of Everlasting Will', 'Aether Wisp', ""Bami's Cinder"", 'Guardian Angel', 'Gunmetal Greaves', 'Staff of Flowing Water', 'Rod of Ages', ""Zhonya's Hourglass"", ""Overlord's Bloodmail"", 'Axiom Arc', 'Synchronized Souls', ""Randuin's Omen"", 'Rejuvenation Bead', ""Warmog's Armor"", 'Stridebreaker', 'Watchful Wardstone', 'Forever Forward', 'Quicksilver Sash', 'Tiamat', ""Shurelya's Battlesong"", 'Ravenous Hydra', 'Catalyst of Aeons', 'Titanic Hydra', 'Mosstomper Seedling', 'Elixir of Sorcery', 'Bloodsong']",0
